deptcode,deptname,programcode,deptlocation,deptphone,userid,password,type,emailid,modifieddate,status
TELUGU,UG TELUGU,UG,UG,,TELUGU,TELUGU001,NULL,NULL,2018-03-15 15:19:28,0
HINDI,UG HINDI,UG,UG,,HINDI,HINDI001,NULL,NULL,2018-03-15 15:19:28,0
ENGLISH,UG ENGLISH,UG,UG,,ENGLISH,ENGLISH001,NULL,NULL,2018-03-15 15:19:28,0
SANSKRIT,UG SANSKRIT,UG,UG,,SANSKRIT,SANSKRIT001,NULL,NULL,2018-03-15 15:19:28,0
MATHS,UG MATHS,UG,UG,,MATHS,MATHS001,NULL,NULL,2018-03-15 15:19:28,0
PHYSICS,UG PHYSICS,UG,UG,,PHYSICS,PHYSICS001,NULL,NULL,2018-03-15 15:19:28,0
CHEMISTRY,UG CHEMISTRY,UG,UG,,CHEMISTRY,CHEMISTRY001,NULL,NULL,2018-03-15 15:19:28,0
COMPUTERS,UG COMPUTERS,UG,UG,,COMPUTERS,COMPUTERS001,NULL,NULL,2018-03-15 15:19:28,0
COMMERCE,UG COMMERCE,UG,UG,,COMMERCE,COMMERCE001,NULL,NULL,2018-03-15 15:19:28,0
ECONOMICS,UG ECONOMICS,UG,UG,,ECONOMICS,ECONOMICS001,NULL,NULL,2018-03-15 15:19:28,0
HISTORY,UG HISTORY,UG,UG,,HISTORY,HISTORY001,NULL,NULL,2018-03-15 15:19:28,0
BOTANY,UG BOTANY,UG,UG,,BOTANY,BOTANY001,NULL,NULL,2018-03-15 15:19:28,0
ZOOLOGY,UG ZOOLOGY,UG,UG,,ZOOLOGY,ZOOLOGY001,NULL,NULL,2018-03-15 15:19:28,0
POLITICS,UG POLITICS,UG,UG,,POLITICS,POLITICS001,NULL,NULL,2018-03-15 15:19:28,0
MBA,PG MBA,PG,PG,11111111111,MBA,MBA001,NULL,dddd@a.vom,2018-03-15 15:19:28,0
MCA,PG MCA,PG,PG,,MCA,MCA,NULL,NULL,2018-03-15 15:19:28,0
ENCSE,Computer Science Engineering,EN,ENGG,65559555554,CSE,1111111,admin,a@g.com,2018-03-15 15:19:28,0
ENECE,Electronics and Communications Engineering,EN,ENGG,,ECE,ECE,admin,NULL,2018-03-15 15:19:28,0
ENEEE,Electrical and Electronics Engineering,EN,ENGG,,EEE,EEE,admin,NULL,2018-03-15 15:19:28,0
ENCVL,Civil Engineering,EN,ENGG,,CVL,CVL,admin,NULL,2018-03-15 15:19:28,0
ENMEC,Mechanical Engineering,EN,ENGG,,MEC,MEC,admin,NULL,2018-03-15 15:19:28,0
ENHBS,Humanities and Basic Sciences,EN,ENGG,,HBS,HBS,admin,NULL,2018-04-12 15:18:20,1
PG-CHEM,PG-CHEMISTRY,PG,PG,,PG-CHEMISTRY,PG-CHEMISTRY001,TEACHING,NULL,2019-01-31 08:46:00,0
MBAMCA,MCA,EN,ENGG,43233543535,MCA,123456,NULL,a@g.com,2018-04-26 08:54:34,1
DPDEC,Diploma in ECE,DP,ENGG,,DEC,DEC,user,NULL,2018-12-13 08:09:45,0
DPDEE,Diploma in EEE,DP,ENGG,,DEE,DEE,user,NULL,2018-12-13 08:10:24,0
DPDME,Diploma in MECH,DP,ENGG,,MEC,MEC,user,NULL,2018-12-13 08:11:04,0
PG-BOTANY,PG-BOTANY,PG,PG,,PG-BOTANY,PG-BOTANY001,TEACHING,NULL,2019-01-31 08:46:00,0
